Site,Depth,Record,Date,Time,Licor sensor,Unit measurement,PPFFR
Arnedo,10m,28,20/08/2024,55:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,345.73
Arnedo,10m,29,20/08/2024,55:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,347.66
Arnedo,10m,30,20/08/2024,55:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,347.7
Arnedo,10m,31,20/08/2024,55:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,346.01
Arnedo,10m,32,20/08/2024,55:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,378.16
Arnedo,10m,33,20/08/2024,55:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,389.92
Arnedo,10m,34,20/08/2024,55:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,358.67
Arnedo,10m,35,20/08/2024,55:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,358.86
Arnedo,10m,36,20/08/2024,55:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,368.57
Arnedo,10m,37,20/08/2024,55:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,359.45
Arnedo,10m,38,20/08/2024,55:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,340.82
Arnedo,20m,0,20/08/2024,48:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,545.85
Arnedo,20m,1,20/08/2024,49:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,517.62
Arnedo,20m,2,20/08/2024,49:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,517.02
Arnedo,20m,3,20/08/2024,49:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,523.9
Arnedo,20m,4,20/08/2024,49:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,541.46
Arnedo,20m,5,20/08/2024,49:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,564.11
Arnedo,20m,6,20/08/2024,49:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,539.98
Arnedo,20m,7,20/08/2024,49:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,540.49
Arnedo,20m,8,20/08/2024,49:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,527.05
Arnedo,20m,9,20/08/2024,49:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,508.99
Arnedo,20m,10,20/08/2024,49:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,521.07
Arnedo,20m,11,20/08/2024,49:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,535.53
Arnedo,20m,12,20/08/2024,49:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,516.98
Arnedo,20m,13,20/08/2024,50:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,539.07
Arnedo,20m,14,20/08/2024,50:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,553.19
Arnedo,20m,15,20/08/2024,50:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,555.02
Arnedo,20m,16,20/08/2024,50:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,541.54
Arnedo,20m,17,20/08/2024,50:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,531.63
Arnedo,20m,18,20/08/2024,50:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,524.67
Arnedo,20m,19,20/08/2024,50:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,573.35
Arnedo,20m,20,20/08/2024,50:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,566.71
Arnedo,20m,21,20/08/2024,50:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,555.36
Arnedo,20m,22,20/08/2024,50:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,421
Arnedo,20m,23,20/08/2024,50:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,417.26
Arnedo,20m,24,20/08/2024,50:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,420.85
Arnedo,20m,25,20/08/2024,51:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,401.87
Arnedo,20m,26,20/08/2024,51:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,463.69
Arnedo,20m,27,20/08/2024,51:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,486.48
Arnedo,20m,28,20/08/2024,51:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,521.4
Arnedo,20m,29,20/08/2024,51:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,419.48
Arnedo,20m,30,20/08/2024,51:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,389.8
Arnedo,20m,31,20/08/2024,51:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,380.63
Arnedo,20m,32,20/08/2024,51:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,432.92
Arnedo,20m,33,20/08/2024,51:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,518.05
Arnedo,20m,34,20/08/2024,51:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,495.92
Arnedo,20m,35,20/08/2024,51:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,487.98
Arnedo,20m,36,20/08/2024,51:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,483.03
Arnedo,20m,37,20/08/2024,52:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,451.86
Arnedo,20m,38,20/08/2024,52:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,405.69
Arnedo,30m,0,20/08/2024,44:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,484.53
Arnedo,30m,1,20/08/2024,44:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,492.73
Arnedo,30m,2,20/08/2024,44:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,502.36
Arnedo,30m,3,20/08/2024,44:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,512.78
Arnedo,30m,4,20/08/2024,44:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,498.97
Arnedo,30m,5,20/08/2024,44:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,499.37
Arnedo,30m,6,20/08/2024,45:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,456.16
Arnedo,30m,7,20/08/2024,45:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,459.12
Arnedo,30m,8,20/08/2024,45:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,452.89
Arnedo,30m,9,20/08/2024,45:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,469.51
Arnedo,30m,10,20/08/2024,45:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,451.52
Arnedo,30m,11,20/08/2024,45:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,448.19
Arnedo,30m,12,20/08/2024,45:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,452.71
Arnedo,30m,13,20/08/2024,45:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,467.42
Arnedo,30m,14,20/08/2024,45:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,424.77
Arnedo,30m,15,20/08/2024,45:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,440.81
Arnedo,30m,16,20/08/2024,45:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,427.39
Arnedo,30m,17,20/08/2024,45:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,441.49
Arnedo,30m,18,20/08/2024,46:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,462.69
Arnedo,30m,19,20/08/2024,46:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,433.69
Arnedo,30m,20,20/08/2024,46:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,425.65
Arnedo,30m,21,20/08/2024,46:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,436.97
Arnedo,30m,22,20/08/2024,46:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,424.35
Arnedo,30m,23,20/08/2024,46:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,445
Arnedo,30m,24,20/08/2024,46:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,445.86
Arnedo,30m,25,20/08/2024,46:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,420.45
Arnedo,30m,26,20/08/2024,46:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,433.71
Arnedo,30m,27,20/08/2024,46:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,452.81
Arnedo,30m,28,20/08/2024,46:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,421.52
Arnedo,30m,29,20/08/2024,46:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,459.52
Arnedo,30m,30,20/08/2024,47:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,448.99
Arnedo,30m,31,20/08/2024,47:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,426.78
Arnedo,30m,32,20/08/2024,47:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,465.19
Arnedo,30m,33,20/08/2024,47:16.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,483.47
Arnedo,30m,34,20/08/2024,47:21.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,450.11
Arnedo,30m,35,20/08/2024,47:26.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,425.99
Arnedo,30m,36,20/08/2024,47:31.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,436.43
Arnedo,30m,37,20/08/2024,47:36.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,436.79
Arnedo,30m,38,20/08/2024,47:41.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,437.7
Arnedo,30m,39,20/08/2024,47:46.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,409.27
Arnedo,30m,40,20/08/2024,47:51.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,417.55
Arnedo,30m,41,20/08/2024,47:56.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,446.29
Arnedo,30m,42,20/08/2024,48:01.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,428.6
Arnedo,30m,43,20/08/2024,48:06.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,431.81
Arnedo,30m,44,20/08/2024,48:11.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,437.43
Arnedo,40m,0,20/08/2024,40:33.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,287.4
Arnedo,40m,1,20/08/2024,40:38.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,296.63
Arnedo,40m,2,20/08/2024,40:43.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,292.54
Arnedo,40m,3,20/08/2024,40:48.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,304.94
Arnedo,40m,4,20/08/2024,40:53.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,317.16
Arnedo,40m,5,20/08/2024,40:58.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,324.02
Arnedo,40m,6,20/08/2024,41:03.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,331.19
Arnedo,40m,7,20/08/2024,41:08.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,339.44
Arnedo,40m,8,20/08/2024,41:13.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,348.77
Arnedo,40m,9,20/08/2024,41:18.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,355.14
Arnedo,40m,10,20/08/2024,41:23.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,369.52
Arnedo,40m,11,20/08/2024,41:28.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,377.24
Arnedo,40m,12,20/08/2024,41:33.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,391.95
Arnedo,40m,13,20/08/2024,41:38.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,404.8
Arnedo,40m,14,20/08/2024,41:43.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,429.34
Arnedo,40m,15,20/08/2024,41:48.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,432.79
Arnedo,40m,16,20/08/2024,41:53.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,454.66
Arnedo,40m,17,20/08/2024,41:58.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,478.84
Arnedo,40m,18,20/08/2024,42:03.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,473.75
Arnedo,40m,19,20/08/2024,42:08.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,455.74
Arnedo,40m,20,20/08/2024,42:13.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,469.56
Arnedo,40m,21,20/08/2024,42:18.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,481.63
Arnedo,40m,22,20/08/2024,42:23.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,465.69
Arnedo,40m,23,20/08/2024,42:28.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,422.67
Arnedo,40m,24,20/08/2024,42:33.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,438.26
Arnedo,40m,25,20/08/2024,42:38.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,473.83
Arnedo,40m,26,20/08/2024,42:43.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,371.85
Arnedo,40m,27,20/08/2024,42:48.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,450.17
Arnedo,40m,28,20/08/2024,42:53.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,460.27
Arnedo,40m,29,20/08/2024,42:58.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,456.66
Arnedo,40m,30,20/08/2024,43:03.0,LI-193 (Spherical underwater quantum sensor),Photosynthetic Photon Flux Fluence Rate (PPFFR) or Quantum Scalar Irradiance,439.35
