Year,Location,Site,Depth,Transect,Interval,Genus,Species epithet,Species,Abundance,Size est.,Match,Family,a,b,Biomass,Trophic group
2016,Apo Reef,Aladin,11,2,5,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6,832,Pomacentridae,0.0703,2.65,8.11,Herbivore
2016,Apo Reef,Aladin,11,2,5,Pomacentrus,brachialis,Pomacentrus brachialis,1,6,820,Pomacentridae,0.0116,3.387,5.01,Herbivore
2016,Apo Reef,Aladin,11,2,10,Scarus,niger,Scarus niger,1,20,956,Scaridae,0.0316,3.09,331.03,Herbivore
2016,Apo Reef,Aladin,11,2,10,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,3,10,56,Pomacentridae,0.02512,3.06,86.52,Planktivore
2016,Apo Reef,Aladin,11,2,10,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,10,8,56,Pomacentridae,0.02512,3.06,145.71,Planktivore
2016,Apo Reef,Aladin,11,2,10,Melichthys,vidua,Melichthys vidua,1,12,646,Balistidae,0.0058,3.554,39.7,Omnivore
2016,Apo Reef,Aladin,11,2,10,Ctenochaetus,striatus,Ctenochaetus striatus,1,12,399,Acanthuridae,0.0137,3.083,29.1,Detritivore
2016,Apo Reef,Aladin,11,2,10,Dascyllus,reticulatus,Dascyllus reticulatus,6,4,407,Pomacentridae,0.0612,2.747,16.55,Herbivore
2016,Apo Reef,Aladin,11,2,10,Chaetodon,baronessa,Chaetodon baronessa,1,15,236,Chaetodontidae,0.0448,2.828,94.9,Corallivore
2016,Apo Reef,Aladin,11,2,10,Neoglyphidodon,melas,Neoglyphidodon melas,1,14,681,Pomacentridae,0.02138,2.99,57.14,Herbivore
2016,Apo Reef,Aladin,11,2,10,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6,832,Pomacentridae,0.0703,2.65,8.11,Herbivore
2016,Apo Reef,Aladin,11,2,10,Gomphosus,varius,Gomphosus varius,1,10,496,Labridae,0.00676,2.96,6.17,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,10,Dascyllus,reticulatus,Dascyllus reticulatus,10,4,407,Pomacentridae,0.0612,2.747,27.58,Herbivore
2016,Apo Reef,Aladin,11,2,10,Chromis,viridis,Chromis viridis,7,6,330,Pomacentridae,0.0642,2.518,40.93,Herbivore
2016,Apo Reef,Aladin,11,2,10,Thalassoma,hardwicke,Thalassoma hardwicke,1,10,1059,Labridae,0.00977,3.04,10.71,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,10,Neopomacentrus,anabatoides,Neopomacentrus anabatoides,1,5,691,Pomacentridae,0.01479,2.99,1.82,Planktivore
2016,Apo Reef,Aladin,11,2,10,Paracirrhites,arcatus,Paracirrhites arcatus,1,8,724,Cirrhitidae,0.00912,3.07,5.4,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,15,Cephalopholis,argus,Cephalopholis argus,1,18,219,Serranidae,0.00678,3.274,87.3,Piscivore
2016,Apo Reef,Aladin,11,2,15,Chaetodon,baronessa,Chaetodon baronessa,1,5,236,Chaetodontidae,0.0448,2.828,4.25,Corallivore
2016,Apo Reef,Aladin,11,2,15,Chromis,margaritifer,Chromis margaritifer,10,3,319,Pomacentridae,0.0182,3,4.91,Herbivore
2016,Apo Reef,Aladin,11,2,15,Zebrasoma,scopas,Zebrasoma scopas,1,13,1090,Acanthuridae,0.04,2.867,62.48,Herbivore
2016,Apo Reef,Aladin,11,2,15,Melichthys,vidua,Melichthys vidua,1,15,646,Balistidae,0.0058,3.554,87.75,Omnivore
2016,Apo Reef,Aladin,11,2,15,Thalassoma,amblycephalum,Thalassoma amblycephalum,15,3,1057,Labridae,0.00955,3,3.87,Planktivore
2016,Apo Reef,Aladin,11,2,15,Pomacentrus,moluccensis,Pomacentrus moluccensis,2,3,832,Pomacentridae,0.0703,2.65,2.58,Herbivore
2016,Apo Reef,Aladin,11,2,15,Abudefduf,vaigiensis,Abudefduf vaigiensis,2,5,11,Pomacentridae,0.0195,3.03,5.12,Herbivore
2016,Apo Reef,Aladin,11,2,15,Ctenochaetus,striatus,Ctenochaetus striatus,1,20,399,Acanthuridae,0.0137,3.083,140.54,Detritivore
2016,Apo Reef,Aladin,11,2,15,Chromis,margaritifer,Chromis margaritifer,2,3,319,Pomacentridae,0.0182,3,0.98,Herbivore
2016,Apo Reef,Aladin,11,2,15,Ptereleotris,evides,Ptereleotris evides,2,4,899,Ptereleotridae,0.00389,3.12,0.59,Planktivore
2016,Apo Reef,Aladin,11,2,15,Pygoplites,diacanthus,Pygoplites diacanthus,1,10,918,Pomacanthidae,0.00514,3,5.14,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,15,Siganus,vulpinus,Siganus vulpinus,1,21,1009,Siganidae,0.0287,3,265.79,Herbivore
2016,Apo Reef,Aladin,11,2,15,Cephalopholis,argus,Cephalopholis argus,1,18,219,Serranidae,0.00678,3.274,87.3,Piscivore
2016,Apo Reef,Aladin,11,2,15,Thalassoma,lunare,Thalassoma lunare,5,3,1061,Labridae,0.01072,2.96,1.38,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,20,Dascyllus,reticulatus,Dascyllus reticulatus,6,4,407,Pomacentridae,0.0612,2.747,16.55,Herbivore
2016,Apo Reef,Aladin,11,2,20,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,3,832,Pomacentridae,0.0703,2.65,1.29,Herbivore
2016,Apo Reef,Aladin,11,2,20,Chromis,viridis,Chromis viridis,8,3,330,Pomacentridae,0.0642,2.518,8.17,Herbivore
2016,Apo Reef,Aladin,11,2,20,Chromis,margaritifer,Chromis margaritifer,2,4,319,Pomacentridae,0.0182,3,2.33,Herbivore
2016,Apo Reef,Aladin,11,2,20,Chaetodon,adiergastos,Chaetodon adiergastos,2,9,233,Chaetodontidae,0.02239,3.01,33.37,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,20,Forcipiger,longirostris,Forcipiger longirostris,2,5,482,Chaetodontidae,0.01384,3,3.46,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,20,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,5,56,Pomacentridae,0.02512,3.06,3.46,Planktivore
2016,Apo Reef,Aladin,11,2,20,Zanclus,cornutus,Zanclus cornutus,1,5,1088,Zanclidae,0.0147,3.37,3.33,Omnivore
2016,Apo Reef,Aladin,11,2,20,Pseudanthias,huchtii,Pseudanthias huchtii,1,3,867,Serranidae,0.0127,3.085,0.38,Planktivore
2016,Apo Reef,Aladin,11,2,20,Balistapus,undulatus,Balistapus undulatus,1,10,153,Balistidae,0.0058,3.554,20.77,Omnivore
2016,Apo Reef,Aladin,11,2,20,Acanthurus,pyroferus,Acanthurus pyroferus,1,10,30,Acanthuridae,0.00179,3,1.79,Herbivore
2016,Apo Reef,Aladin,11,2,20,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,5,56,Pomacentridae,0.02512,3.06,3.46,Planktivore
2016,Apo Reef,Aladin,11,2,25,Chromis,viridis,Chromis viridis,30,2,330,Pomacentridae,0.0642,2.518,11.03,Herbivore
2016,Apo Reef,Aladin,11,2,25,Thalassoma,hardwicke,Thalassoma hardwicke,2,12,1059,Labridae,0.00977,3.04,37.29,Benthic Invertivore
2016,Apo Reef,Aladin,11,2,25,Dascyllus,reticulatus,Dascyllus reticulatus,3,3,407,Pomacentridae,0.0612,2.747,3.75,Herbivore
2016,Apo Reef,Aladin,11,2,25,Zebrasoma,veliferum,Zebrasoma veliferum,1,14,1092,Acanthuridae,0.03425,2.866,65.99,Herbivore
2016,Apo Reef,Aladin,11,2,25,Chaetodon,baronessa,Chaetodon baronessa,1,4,236,Chaetodontidae,0.0448,2.828,2.26,Corallivore
2016,Apo Reef,Aladin,11,2,25,Balistapus,undulatus,Balistapus undulatus,1,10,153,Balistidae,0.0058,3.554,20.77,Omnivore
2016,Apo Reef,Aladin,11,2,25,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,5,56,Pomacentridae,0.02512,3.06,3.46,Planktivore
2016,Apo Reef,Aladin,11,2,25,Chromis,viridis,Chromis viridis,30,3,330,Pomacentridae,0.0642,2.518,30.62,Herbivore
2016,Apo Reef,Aladin,11,2,25,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,7,4,12,Pomacentridae,0.02188,3.01,9.94,Planktivore
2016,Apo Reef,Aladin,11,2,25,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,3,832,Pomacentridae,0.0703,2.65,1.29,Herbivore
2016,Apo Reef,Aladin,11,2,25,Chaetodon,melannotus,Chaetodon melannotus,2,5,245,Chaetodontidae,0.038,2.921,8.37,Corallivore
2016,Apo Reef,Aladin,11,3,25,Halichoeres,prosopeion,Halichoeres prosopeion,12,6,533,Labridae,0.00977,3.07,28.71,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Pomacentrus,moluccensis,Pomacentrus moluccensis,1,6,832,Pomacentridae,0.0703,2.65,8.11,Herbivore
2016,Apo Reef,Aladin,11,3,25,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,6,56,Pomacentridae,0.02512,3.06,6.04,Planktivore
2016,Apo Reef,Aladin,11,3,25,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,7,56,Pomacentridae,0.02512,3.06,9.68,Planktivore
2016,Apo Reef,Aladin,11,3,25,Neoglyphidodon,nigroris,Neoglyphidodon nigroris,3,5,682,Pomacentridae,0.01782,3.182,8.96,Herbivore
2016,Apo Reef,Aladin,11,3,25,Chromis,retrofasciata,Chromis retrofasciata,1,2,325,Pomacentridae,0.009,2.773,0.06,Herbivore
2016,Apo Reef,Aladin,11,3,25,Abudefduf,vaigiensis,Abudefduf vaigiensis,20,8,11,Pomacentridae,0.0195,3.03,212.53,Herbivore
2016,Apo Reef,Aladin,11,3,25,Chromis,amboinensis,Chromis amboinensis,10,6,306,Pomacentridae,0.00554,3,11.97,Planktivore
2016,Apo Reef,Aladin,11,3,25,Paracirrhites,arcatus,Paracirrhites arcatus,1,6,724,Cirrhitidae,0.00912,3.07,2.23,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Pomacentrus,brachialis,Pomacentrus brachialis,3,6,820,Pomacentridae,0.0116,3.387,15.04,Herbivore
2016,Apo Reef,Aladin,11,3,25,Chromis,margaritifer,Chromis margaritifer,20,6,319,Pomacentridae,0.0182,3,78.62,Herbivore
2016,Apo Reef,Aladin,11,3,25,Gomphosus,varius,Gomphosus varius,1,10,496,Labridae,0.00676,2.96,6.17,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Zanclus,cornutus,Zanclus cornutus,1,12,1088,Zanclidae,0.0147,3.37,63.7,Omnivore
2016,Apo Reef,Aladin,11,3,25,CHeilinus,undulatus,CHeilinus undulatus,1,12,274,Labridae,0.01514,2.99,25.52,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,12,4,12,Pomacentridae,0.02188,3.01,17.04,Planktivore
2016,Apo Reef,Aladin,11,3,25,Chromis,xanthura,Chromis xanthura,5,4,333,Pomacentridae,0.009,2.773,2.1,Planktivore
2016,Apo Reef,Aladin,11,3,25,Dascyllus,trimaculatus,Dascyllus trimaculatus,1,12,409,Pomacentridae,0.03132,3.043,60.22,Herbivore
2016,Apo Reef,Aladin,11,3,25,Zebrasoma,scopas,Zebrasoma scopas,1,10,1090,Acanthuridae,0.04,2.867,29.45,Herbivore
2016,Apo Reef,Aladin,11,3,25,Ctenochaetus,striatus,Ctenochaetus striatus,1,12,399,Acanthuridae,0.0137,3.083,29.1,Detritivore
2016,Apo Reef,Aladin,11,3,25,Thalassoma,hardwicke,Thalassoma hardwicke,1,10,1059,Labridae,0.00977,3.04,10.71,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Hemigymnus,fasciatus,Hemigymnus fasciatus,1,12,544,Labridae,0.01713,3,29.6,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Gomphosus,varius,Gomphosus varius,1,14,496,Labridae,0.00676,2.96,16.69,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,25,Chlorurus,sordidus,Chlorurus sordidus,1,8,295,Scaridae,0.0319,2.927,14.03,Detritivore
2016,Apo Reef,Aladin,11,3,25,Chromis,margaritifer,Chromis margaritifer,6,4,319,Pomacentridae,0.0182,3,6.99,Herbivore
2016,Apo Reef,Aladin,11,3,25,Pomacentrus,vaiuli,Pomacentrus vaiuli,1,6,847,Pomacentridae,0.0619,2.628,6.87,Herbivore
2016,Apo Reef,Aladin,11,3,25,Zebrasoma,scopas,Zebrasoma scopas,3,12,1090,Acanthuridae,0.04,2.867,149,Herbivore
2016,Apo Reef,Aladin,11,3,20,Chromis,margaritifer,Chromis margaritifer,2,4,319,Pomacentridae,0.0182,3,2.33,Herbivore
2016,Apo Reef,Aladin,11,3,20,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,1,6,795,Pomacentridae,0.02138,2.99,4.54,Herbivore
2016,Apo Reef,Aladin,11,3,20,Chaetodon,baronessa,Chaetodon baronessa,2,10,236,Chaetodontidae,0.0448,2.828,60.3,Corallivore
2016,Apo Reef,Aladin,11,3,20,Naso,vlamingii,Naso vlamingii,1,30,675,Acanthuridae,0.0497,2.839,776.07,Herbivore
2016,Apo Reef,Aladin,11,3,20,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,2,10,12,Pomacentridae,0.02188,3.01,44.78,Planktivore
2016,Apo Reef,Aladin,11,3,20,Pomacentrus,lepidogenys,Pomacentrus lepidogenys,4,6,830,Pomacentridae,0.0215,3.21,27.06,Herbivore
2016,Apo Reef,Aladin,11,3,20,Zanclus,cornutus,Zanclus cornutus,1,20,1088,Zanclidae,0.0147,3.37,356.28,Omnivore
2016,Apo Reef,Aladin,11,3,20,Thalassoma,lunare,Thalassoma lunare,1,6,1061,Labridae,0.01072,2.96,2.16,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,20,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,1,10,56,Pomacentridae,0.02512,3.06,28.84,Planktivore
2016,Apo Reef,Aladin,11,3,20,Amblyglyphidodon,curacao,Amblyglyphidodon curacao,2,6,56,Pomacentridae,0.02512,3.06,12.08,Planktivore
2016,Apo Reef,Aladin,11,3,20,Chaetodon,adiergastos,Chaetodon adiergastos,2,14,233,Chaetodontidae,0.02239,3.01,126.16,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,20,Oxycheilinus,digramma,Oxycheilinus digramma,1,12,714,Labridae,0.01449,3,25.04,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,20,Ptereleotris,evides,Ptereleotris evides,5,6,899,Ptereleotridae,0.00389,3.12,5.21,Planktivore
2016,Apo Reef,Aladin,11,3,20,Labroides,dimidiatus,Labroides dimidiatus,3,6,583,Labridae,0.00447,3.13,3.66,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,20,Pseudanthias,huchtii,Pseudanthias huchtii,3,6,867,Serranidae,0.0127,3.085,9.58,Planktivore
2016,Apo Reef,Aladin,11,3,20,Gomphosus,varius,Gomphosus varius,1,12,496,Labridae,0.00676,2.96,10.58,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,20,Ctenochaetus,striatus,Ctenochaetus striatus,1,12,399,Acanthuridae,0.0137,3.083,29.1,Detritivore
2016,Apo Reef,Aladin,11,3,20,Chaetodon,kleinii,Chaetodon kleinii,2,8,241,Chaetodontidae,0.0448,2.828,32.08,Herbivore
2016,Apo Reef,Aladin,11,3,20,Zanclus,cornutus,Zanclus cornutus,2,10,1088,Zanclidae,0.0147,3.37,68.92,Omnivore
2016,Apo Reef,Aladin,11,3,15,Siganus,vulpinus,Siganus vulpinus,2,12,1009,Siganidae,0.0287,3,99.19,Herbivore
2016,Apo Reef,Aladin,11,3,15,Acanthurus,thompsoni,Acanthurus thompsoni,1,12,32,Acanthuridae,0.01533,3,26.49,Planktivore
2016,Apo Reef,Aladin,11,3,15,Ctenochaetus,striatus,Ctenochaetus striatus,1,12,399,Acanthuridae,0.0137,3.083,29.1,Detritivore
2016,Apo Reef,Aladin,11,3,15,Abudefduf,vaigiensis,Abudefduf vaigiensis,1,8,11,Pomacentridae,0.0195,3.03,10.63,Herbivore
2016,Apo Reef,Aladin,11,3,15,Chaetodon,lunula,Chaetodon lunula,1,12,243,Chaetodontidae,0.02239,3.01,39.66,Benthic Invertivore
2016,Apo Reef,Aladin,11,3,15,Cirrhilabrus,cyanopleura,Cirrhilabrus cyanopleura,30,4,350,Labridae,0.01445,2.94,25.53,Planktivore
